epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.0931,2.7688,11.1261,2.25016,0.30667,0.0381,0.00877,0.00191,2.93185,9.91061,2.09872,3.636e-05,3.636e-05,3.636e-05
2,124.182,2.3876,6.02393,1.97287,0.09048,0.0619,0.0484,0.01282,2.45525,35.3775,1.86696,8.01902e-05,8.01902e-05,8.01902e-05
3,183.536,2.56283,5.76033,1.85316,0.40133,0.24576,0.13795,0.06157,2.35474,15.1005,1.78211,0.000122221,0.000122221,0.000122221
4,239.174,2.22163,3.98241,1.78968,0.40315,0.22253,0.18852,0.0974,2.16188,7.41282,1.68441,0.000162451,0.000162451,0.000162451
5,297.757,2.09989,3.36235,1.69267,0.80867,0.15805,0.33865,0.15107,2.08783,5.43049,1.59089,0.000200882,0.000200882,0.000200882
6,368.639,1.70677,4.77658,1.29522,0.25394,0.30587,0.27579,0.10294,2.40224,7.41599,1.69473,0.000237513,0.000237513,0.000237513
7,426.367,2.14442,3.2417,1.71701,0.75633,0.33467,0.37283,0.15598,2.23582,4.23777,1.60518,0.000272344,0.000272344,0.000272344
8,487.188,1.91672,2.91682,1.61985,0.52801,0.35253,0.52671,0.20705,2.39601,5.32843,1.80652,0.000305375,0.000305375,0.000305375
9,539.498,2.24043,2.40177,1.76365,0.62875,0.28614,0.37582,0.16358,2.39766,3.25182,1.79209,0.000336606,0.000336606,0.000336606
10,585.385,2.07078,2.36523,1.77244,0.1805,0.34749,0.26641,0.09704,2.51372,3.64579,1.82675,0.000366038,0.000366038,0.000366038
11,638.749,2.21315,2.48291,1.74976,0.38123,0.32739,0.29967,0.11141,2.44238,3.06602,1.73304,0.00039367,0.00039367,0.00039367
12,698.594,1.84967,2.39621,1.55317,0.55739,0.55278,0.52516,0.19313,2.45485,2.92773,1.84809,0.000419502,0.000419502,0.000419502
13,757.987,2.16124,2.34231,1.74301,0.48106,0.39609,0.38326,0.16167,2.20806,3.80636,1.69553,0.000443534,0.000443534,0.000443534
14,812.943,1.92538,2.11956,1.49951,0.24987,0.45242,0.33353,0.161,2.10129,3.16762,1.65011,0.000465766,0.000465766,0.000465766
15,862.897,2.03812,2.01612,1.62208,0.27451,0.38504,0.34733,0.18672,1.99677,2.56024,1.56754,0.000486199,0.000486199,0.000486199
16,925.968,1.931,2.10655,1.55319,0.75285,0.33437,0.54444,0.20552,2.17363,2.84453,1.7859,0.000504831,0.000504831,0.000504831
17,981.575,1.97706,2.01153,1.62222,0.85128,0.27032,0.38784,0.14428,2.22874,2.71719,1.75695,0.000521664,0.000521664,0.000521664
18,1032.33,2.08997,1.90503,1.6849,0.34159,0.31111,0.27771,0.1424,2.03711,2.97563,1.5631,0.000536697,0.000536697,0.000536697
19,1098.06,2.05499,1.9852,1.68793,0.59874,0.40635,0.30826,0.1259,2.09265,5.00024,1.60101,0.00054993,0.00054993,0.00054993
20,1163.44,1.9876,1.90437,1.62412,0.52233,0.32063,0.37195,0.14548,2.19103,2.94669,1.59569,0.000561364,0.000561364,0.000561364
21,1228.34,2.04228,1.99855,1.57936,0.4291,0.30159,0.40509,0.13363,2.20627,2.84218,1.51713,0.000549036,0.000549036,0.000549036
22,1289.69,1.91266,2.11252,1.60197,0.43925,0.42166,0.41597,0.19141,2.14092,2.58147,1.55231,0.000531038,0.000531038,0.000531038
23,1341.21,2.02251,1.96859,1.69442,0.37478,0.36397,0.47778,0.21523,2.03257,2.50167,1.54272,0.00051304,0.00051304,0.00051304
24,1393.84,2.14553,2.00811,1.82766,0.53526,0.42152,0.47126,0.22992,2.13709,2.51766,1.73182,0.000495041,0.000495041,0.000495041
